Date,Sum of Mkt-RF2,Sum of SMB2,Sum of HML2,Sum of RMW2,Sum of CMA2,Average of RF
1/2/2008,-0.02844858,-0.002732483,0.018637747,0.010303696,0.009525622,0.01
2/1/2008,-0.013590367,-0.00257748,-0.003776267,0.003787908,-0.005112954,0.007
3/3/2008,-0.004036537,0.002958957,0.001386153,0.002623769,0.001338058,0.009
4/1/2008,0.019478129,-0.005417327,-0.004353399,0.006906114,-0.011017133,0.008
5/1/2008,0.008053701,0.01291413,-0.006709931,0.003231564,0.000616497,0.008
6/2/2008,-0.038272425,0.005568417,-0.013074504,0.022679881,-0.002424846,0.008
7/1/2008,-0.003140539,0.016094581,0.02398213,-0.006965499,0.00395367,0.007
8/1/2008,0.006595965,0.013914692,0.006937566,0.007515328,0.002566265,0.006
9/2/2008,-0.042608914,-0.001025091,0.032404125,0.008841979,0.006594242,0.007
10/1/2008,-0.081810445,-0.018651534,-0.009708337,0.014470898,0.006540982,0.004
11/3/2008,-0.034928384,-0.01993199,-0.028833607,0.021492884,0.011609769,0.001
12/1/2008,0.007645301,0.01570198,0.004615322,-0.000962998,-0.006374256,0
1/2/2009,-0.037380954,-0.009366907,-0.052311595,-0.000491215,-0.006983766,0
2/2/2009,-0.046293272,-0.005836847,-0.032102127,0.004770439,-0.004647616,0.001
3/2/2009,0.037337649,0.00345123,0.019668168,-0.012252154,-0.00761678,0.001
4/1/2009,0.042052629,0.027955654,0.022774561,0.004084821,0.001865498,0.001
5/1/2009,0.022021921,-0.009229308,0.003258015,-0.00325168,-0.008544054,0
6/1/2009,0.001869353,0.010057836,-0.01125788,-0.005747754,-0.001727374,0
7/1/2009,0.032362249,0.009811946,0.019933613,-0.001905208,0.012538983,0.001
8/3/2009,0.014267283,0.000112057,0.03201039,-0.012751978,0.014561823,0.001
9/1/2009,0.017336467,0.011476929,0.004883234,0.00453437,0.001632548,0
10/1/2009,-0.011261604,-0.021694751,-0.018494029,0.018759392,-0.006605414,0
11/2/2009,0.02352088,-0.01121421,-0.000831674,0.003640447,0.000850463,0
12/1/2009,0.011817391,0.025586261,-0.0003244,0.003813975,-0.000861668,0
1/4/2010,-0.014928636,0.001813799,0.002106988,-0.005235465,0.002628451,0
2/1/2010,0.014600177,0.006292343,0.013759923,-0.00121986,0.005876064,0
3/1/2010,0.02645874,0.007632712,0.00917019,-0.002805328,0.007144695,0
4/1/2010,0.008631123,0.02080357,0.012290647,0.002506391,0.007510349,0.001
5/3/2010,-0.035726447,0.001038814,-0.010298789,0.005086285,-0.000293878,0.001
6/1/2010,-0.02491988,-0.010902074,-0.021092545,-0.001104798,-0.007021542,0.001
7/1/2010,0.029045969,0.001086709,-0.000741496,0.000252715,0.008379393,0.001
8/2/2010,-0.02130815,-0.013776821,-0.00900106,0.002145365,-0.007379895,0.001
9/1/2010,0.039544273,0.015046415,-0.012121126,-0.000691523,0.001485922,0.001
10/1/2010,0.01655658,0.003808231,-0.010773617,0.00526571,-0.001196421,0.001
11/1/2010,0.002608969,0.015488225,-0.003565286,0.001428598,0.006868868,0.001
12/1/2010,0.028614876,0.003674066,0.015516832,-0.014456407,0.012650144,0.001
1/3/2011,0.008601691,-0.00991932,0.00336199,-0.00302212,0.003800561,0
2/1/2011,0.014928873,0.007163067,0.004773822,-0.007685482,0.003449027,0.001
3/1/2011,0.002010057,0.011360061,-0.007781103,0.007081755,0.000276607,0
4/1/2011,0.012484524,-0.002054425,-0.010549845,0.004236709,-0.003582933,0
5/2/2011,-0.005488215,-0.002590849,-0.009026057,0.008207366,-0.00653142,0
6/1/2011,-0.007648553,0.001107277,-0.001456406,0.010554451,-0.006852991,0
7/1/2011,-0.010340547,-0.005192416,-0.004148977,0.011588341,-0.008169158,0
8/1/2011,-0.026860022,-0.013062506,-0.01065305,0.012703262,-0.002395432,0
9/1/2011,-0.034312855,-0.016644155,-0.007166832,0.008145715,-0.000116774,0
10/3/2011,0.046756216,0.014521944,0.000808859,-0.010150928,-0.00342463,0
11/1/2011,-0.00140466,-0.000251784,-0.001739908,0.007353866,0.005998397,0
12/1/2011,0.003202416,-0.000969353,0.007017762,0.003851242,0.010585164,0
1/3/2012,0.021476936,0.008495449,-0.003725141,-0.008473298,-0.005399195,0
2/1/2012,0.01868088,-0.006873494,0.0017745,-0.002088367,-0.000144999,0
3/1/2012,0.013312168,-0.001857313,0.004759265,-0.002442997,0.003109583,0
4/2/2012,-0.003737449,-0.002030522,-0.003471136,0.005552064,0.002773381,0
5/1/2012,-0.02792703,-0.000428968,-0.005097425,0.009380819,0.010258668,0
6/1/2012,0.016572265,0.003715234,0.002423236,-0.004825499,0.001914096,0
7/2/2012,0.003342998,-0.011907688,-0.000401634,0.00530359,0.000329219,0
8/1/2012,0.010945113,0.002040468,0.005390754,-0.005832481,-0.003803152,0
9/4/2012,0.011667644,0.002600969,0.006763075,-0.006615078,0.006148279,0
10/1/2012,-0.007581629,-0.003927292,0.015759448,-0.005722688,0.011034556,0
11/1/2012,0.003354569,0.002128503,-0.003624188,0.003191871,0.003411554,0
12/3/2012,0.005042021,0.008191867,0.015232909,-0.008188331,0.003357128,0.001
1/2/2013,0.023600063,0.001809151,0.003874131,-0.0077513,0.00636698,0
2/1/2013,0.005492489,-0.001107869,0.000611457,-0.002847965,0.002844738,0
3/1/2013,0.017132708,0.003487909,-0.00081317,0.000593748,0.005851039,0
4/1/2013,0.006671393,-0.009415616,0.002155817,0.000924963,0.001712968,0
5/1/2013,0.012091055,0.008750498,0.011374894,-0.009067818,-0.003365221,0
6/3/2013,-0.005255281,0.006767079,0.000381775,-0.001856285,0.000502455,0
7/1/2013,0.023721869,0.007381627,0.002278866,-0.005818044,0.002202115,0
8/1/2013,-0.011880181,-0.000194574,-0.011981492,0.002792203,-0.009132502,0
9/3/2013,0.016025424,0.010904853,-0.005218246,-0.002588877,-0.005486117,0
10/1/2013,0.017687377,-0.006090387,0.005302465,0.011415192,0.003362094,0
11/1/2013,0.01334159,0.005986782,0.001093496,0.000882819,0.000245282,0
12/2/2013,0.012090241,-0.00180043,-0.00011102,-0.001929205,0.000719582,0
1/2/2014,-0.014693999,0.002774262,-0.009220458,-0.017567487,-0.005850512,0
2/3/2014,0.019631421,0.000906305,-0.001530862,-0.000891336,-0.001969664,0
3/3/2014,0.001827138,-0.004775157,0.021177954,0.009233266,0.008311556,0
4/1/2014,-0.001019363,-0.0179267,0.004976787,0.014834117,0.004390945,0
5/1/2014,0.008885177,-0.0079796,-0.000584839,-0.000223086,-0.004622479,0
6/2/2014,0.011306545,0.012970248,-0.002895125,-0.008011747,-0.008304379,0
7/1/2014,-0.008957936,-0.01909504,-0.00021771,0.003591534,0.002065297,0
8/1/2014,0.018078116,0.001191381,-0.001897675,-0.002579668,-0.002230594,0
9/2/2014,-0.008464568,-0.016517911,-0.006951747,0.005317186,-0.00254858,0
10/1/2014,0.010801121,0.015368588,-0.007166612,-0.001612344,0.000107975,0
11/3/2014,0.010949872,-0.009468477,-0.013416152,0.006615308,0.000848067,0
12/1/2014,-0.000232109,0.012201558,0.009653878,-0.005572946,0.003704755,0
1/2/2015,-0.013530062,-0.003818411,-0.016117282,0.007209824,-0.006723343,0
2/2/2015,0.025877887,0.001055057,-0.007648115,-0.00480336,-0.007537117,0
3/2/2015,-0.004944255,0.013195814,-0.001935081,0.000408966,-0.002537448,0
4/1/2015,0.002600903,-0.013294784,0.00780609,0.000165019,-0.003153949,0
5/1/2015,0.005775501,0.003472181,-0.004674037,-0.007396436,-0.00183664,0
6/1/2015,-0.006577228,0.012709435,-0.003298014,0.001671348,-0.006707656,0
7/1/2015,0.006735293,-0.019988574,-0.018058891,0.001433404,-0.009976773,0
8/3/2015,-0.027137444,0.000843975,0.012740741,0.002826159,0.005288934,0
9/1/2015,-0.013679543,-0.013064388,0.002354529,0.008156562,-0.003882918,0
10/1/2015,0.032407808,-0.008007504,-0.001925041,0.003314187,0.002981267,0
11/2/2015,0.0024528,0.014267743,-0.001709234,-0.011160755,-0.003713944,0
12/1/2015,-0.00941993,-0.013352102,-0.01170967,0.001695692,0.001440691,0
1/4/2016,-0.025828299,-0.015955111,0.010199658,0.013185082,0.012852358,0
2/1/2016,-0.000306432,0.003957059,-0.002829958,0.013758683,0.007680059,0.001
3/1/2016,0.029179055,0.004144029,0.004433163,0.002491611,0.000223188,0.001
4/1/2016,0.003972769,0.005089892,0.0136215,-0.012549999,0.007542548,0
5/2/2016,0.007757438,-0.002429932,-0.007301182,-0.004766347,-0.009974905,0.001
6/1/2016,-0.000178423,0.001854931,-0.006141565,0.005529462,0.007609639,0.001
7/1/2016,0.016816004,0.010401066,-0.005367607,0.004291645,-0.004791899,0.001
8/1/2016,0.002142222,0.007311833,0.013281719,-0.007491216,-0.001391151,0.001
