DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
03/30/1990,-0.058902512,0.005397285,0.003296195,0.006969642,0.003705914,-0.004057641,0.003083041,0.00032746,-0.0078153,0.008492931,0.000726215,,-0.000390614,-0.029444526,,0.001501574,0.004367946,0.001687773,-0.004836988,0.008423582,,-0.000931869,0.003799246,0.001788294,0.002048168,0.002178353,0.001021002,0.002065792,0.002498047
04/02/1990,0.015542723,0.013948089,0.003893057,0.001121391,0.009765839,-0.006703671,-0.000261554,-0.01662394,0.025038319,-0.000561364,0.000387041,,0.006076808,0.009091787,,-0.002031713,0.011999848,-0.002133016,-0.022520763,-0.009298007,,0.003329765,0.00601144,0.001657629,0.004957474,0.006840279,-0.001584822,0.001630742,0.011860084
04/03/1990,-0.001193578,-0.009572724,0.000762657,-0.003188056,-0.001207598,0.009438715,-0.004120455,0.005505514,-0.016397713,-0.001193519,-0.005496079,,-0.01046732,0.002795688,,-0.000201157,-0.018149873,0.00222357,-0.011267266,8.76656E-05,,0.003196279,-0.009307093,-0.004333215,-0.008612984,-0.011042342,-0.000673789,-0.004275827,-0.01717813
04/04/1990,0.002600034,0.014900645,0.00412719,0.002520224,-0.010825177,0.007108733,-0.010329505,0.001575581,-0.003357308,0.003494412,0.001530838,,-0.005631914,-0.374171637,,-7.37948E-07,-0.016114805,0.013573535,0.002820207,0.042309808,,-0.003745098,0.000275508,-0.001448711,-0.006188072,-0.008896556,0.000930552,-0.001249595,-0.015002118
04/05/1990,0.005503471,0.017230466,-0.001037527,-0.004846714,-0.005622322,0.00446821,-0.00857561,0.010549295,-0.011970076,0.002940942,-0.003684297,,0.000142007,0.584815463,,-0.000382136,-0.031665587,0.002279774,0.018347916,-0.013723125,,-0.00134779,0.000193412,0.002144779,-0.010239233,-0.017369705,0.002545897,0.001792703,-0.029419009
04/06/1990,-0.000741147,0.00037121,0.009868186,0.002603054,0.000801629,0.000837202,0.013738852,0.016178808,0.012535814,0.002955866,0.001156603,,0.007860118,0.022715161,,-0.002719883,-0.03802814,0.005013136,-0.017167602,0.011946172,,0.006108571,-0.000401672,-0.00197183,-0.013654593,-0.020514845,0.002257095,-0.001742975,-0.035187651
04/09/1990,0.000148429,-0.015371439,0.005699842,0.004547211,0.00391004,0.008893372,0.000818641,0.013598898,0.005460252,-0.010428383,-0.00195785,,0.001095338,-0.012811919,,0.005012768,-0.010366569,-0.005536458,0.016934195,-0.011930334,,0.002508835,-0.007871053,-0.002289923,-0.004307368,-0.005514455,0.000266843,-0.001946413,-0.009605608
04/10/1990,0.006346951,0.00499405,0.002004979,0.003706302,-0.001492951,-0.005575705,-0.001512886,-0.002437386,-0.007297757,-0.005361031,0.002100594,,-0.001710229,0.015750635,,0.003880149,0.024107549,-0.003323688,-0.005162641,0.000949932,,-0.009364367,0.003348846,0.000334429,0.008324666,0.013120917,-0.001092274,0.000504941,0.022464069
04/11/1990,0.005540953,0.023689463,0.006514765,-0.00024187,-0.027965349,0.004652782,0.002114763,-0.007823149,-0.011778448,0.007446819,-0.001297895,,0.000792926,0.028068585,,-0.004196893,0.013596186,0.000767208,0.012319577,-0.007878606,,-0.001089829,-0.002591153,-0.00559693,0.002863813,0.007878415,0.000450045,-0.005325265,0.012818542
04/12/1990,-9.96245E-06,-0.009752712,0.004991762,-0.00159554,-0.007090624,-0.004927083,-6.41434E-05,0.000387442,-0.000132852,0.002238774,-0.003943984,,-0.004926833,-0.000807452,,0.002346795,0.006328115,0.006705762,-4.11907E-05,-0.012267681,,-0.003537394,0.005857613,-0.003371142,0.000493273,0.002753062,-0.001803538,-0.003280604,0.005713361
